date,region,total,2024,2529,3034,3539
2012,daegu,341422.5,74965,75260,91486.5,99711
2012,incheon,413975.5,93024.5,94141,112027.5,114782.5
2012,gwangju,216216,47844.5,48678,58226,61467.5
2012,daejeon,225103,49176,51126,60769,64032
2012,ulsan,158703.5,34133.5,34499,43954,46117
2012,gyeonggi,1775358.5,369687,383760,489006.5,532905
2012,gangwon,182312,42410.5,38728,47561.5,53612
2012,chungcheongbukdo,201147.5,44270.5,45567,53508.5,57801.5
2012,chungcheongnamdo,257506,56244.5,57887.5,69754,73620
2012,jeonnabukdo,226990.5,53383.5,50152,58306.5,65148.5
2012,jeonnanamdo,207811.5,49145,45933,54276.5,58457
2012,gyeoungsangbukdo,325609,72139,73022,87504.5,92943.5
2012,gyeoungsangnamdo,428971.5,89455,92235,119326.5,127955
2012,jeju,73439.5,16151,15776.5,19550,21962
2013,seoul,1607655.5,337867.5,395949.5,464761.5,409077
2013,busan,472812.5,111077,107559.5,131737.5,122438.5
2013,daegu,332671.5,76905.5,69544,91691.5,94530.5
2013,incheon,415046.5,96775,91216,115068.5,111987
2013,gwangju,212754.5,49428.5,45553.5,58367,59405.5
2013,daejeon,222157,50604.5,48411.5,61168.5,61972.5
2013,ulsan,157495.5,35381,32761,44942,44411.5
2013,gyeonggi,1764919.5,385300,369940,493857.5,515822
2013,gangwon,178565,43417,36409.5,47206.5,51532
2013,chungcheongbukdo,198237,45197,43028,54190.5,55821.5
2013,chungcheongnamdo,255586.5,57123,55435.5,71205,71823
2013,jeonnabukdo,222095.5,54268.5,47286.5,57894,62646.5
2013,jeonnanamdo,204065.5,50420,43179.5,54231.5,56234.5
2013,gyeoungsangbukdo,317851.5,73003,68372,87599,88877.5
2013,gyeoungsangnamdo,420315.5,91482,86298,119719,122816.5
2013,jeju,73136,16995.5,14971,20026,21143.5
2014,seoul,1580207,341494,384069.5,456265,398378.5
2014,busan,463869,111966.5,103706.5,128455,119741
2014,daegu,324526.5,78474,66673,88704.5,90675
2014,incheon,414116,99077.5,90326,114436.5,110276
2014,gwangju,209272,50935,43626,56894,57817
2014,daejeon,218460.5,51851.5,46789.5,59819,60000.5
2014,ulsan,156380.5,36414,32084,44596.5,43286
2014,gyeonggi,1752551,397960,365461.5,486260,502869.5
2014,gangwon,174559.5,44149.5,35199,45720.5,49490.5
2014,chungcheongbukdo,194998.5,46276,41577,53399,53746.5
2014,chungcheongnamdo,252964,57975,54036.5,70758,70194.5
2014,jeonnabukdo,217315.5,55449,45470,56378,60018.5
2014,jeonnanamdo,200970,51707,41513.5,53094.5,54655
2014,gyeoungsangbukdo,310579.5,74031,65344.5,85627,85577
2014,gyeoungsangnamdo,412585,93464,82810.5,117147.5,119163
2014,jeju,74031.5,18135.5,14754,20170.5,20971.5
2015,seoul,1555051.5,344994,376912,434444,398701.5
2015,busan,457189,113075.5,101908.5,121145,121060
2015,daegu,318298,80288,65679.5,82745.5,89585
2015,incheon,412461,100483,90534.5,109805,111638.5
2015,gwangju,205988,52408.5,42390.5,53565,57624
2015,daejeon,213820,52823.5,45782,56220,58994.5
2015,ulsan,155404,37233.5,31907.5,42556,43707
2015,gyeonggi,1746909,409690.5,366826,465824,504568.5
2015,gangwon,171469,44786.5,34660,43301.5,48721
2015,chungcheongbukdo,192635.5,47592.5,40852.5,51024.5,53166
2015,chungcheongnamdo,250723.5,58964,53275.5,68010,70474
2015,jeonnabukdo,213879,56904.5,44276,53649.5,59049
2015,jeonnanamdo,199620,53184,40705.5,50893.5,54837
2015,gyeoungsangbukdo,304498.5,74908,63443.5,81399.5,84747.5
2015,gyeoungsangnamdo,406941.5,95638,80810.5,111068,119425
2015,jeju,75683.5,19290,14840,19864.5,21689
2016,seoul,1529163,343351,374868.5,410220.5,400723
2016,busan,451338,112743,101777.5,112750,124067.5
2016,daegu,314215.5,81645,66130.5,76685,89755
2016,incheon,411173,100493.5,92174,104016.5,114489
2016,gwangju,202878.5,53269,42109.5,49821.5,57678.5
2016,daejeon,209979,53221.5,45798,52380,58579.5
2016,ulsan,154027.5,37295,32078.5,39888.5,44765.5
2016,gyeonggi,1752247,416443.5,376232,444691.5,514880
