date,region,total,6569,7074,7579,8084,8589,9094,9599,100UP
2009,busan,372705,153705.5,104788.5,61839,33745.5,14079.5,3652.5,770,124.5
2009,daegu,237431.5,93376.5,68356.5,41489,21713,9228,2661,517,90.5
2009,incheon,220771.5,82745.5,62139,39083.5,22226,10732.5,3103,640,102
2009,gwangju,121268,46351.5,33603,21200,11969,5851.5,1807,414.5,71.5
2009,daejeon,121871,45955,34405,21457.5,12119,5756.5,1736,382.5,59.5
2009,ulsan,71648,28736.5,19474,12146.5,6955,3207.5,941,169,18.5
2009,gyeonggi,942402,352014.5,271883,166008,91747.5,44380,13164,2771.5,433.5
2009,gangwon,213576,77422.5,62224,36720,22027.5,10788,3532.5,735,126.5
2009,chungcheongbukdo,195328.5,67418.5,58088,36753,20038.5,9381.5,2910.5,643,95.5
2009,chungcheongnamdo,297468,96159,89561.5,59538.5,31780.5,14793,4528,961,146.5
2009,jeonnabukdo,274956.5,91911,79699,54042,29740,14220.5,4247.5,918,178.5
2009,jeonnanamdo,341134,114742.5,99145,67085.5,35632.5,18086.5,5037,1193,212
2009,gyeoungsangbukdo,407348.5,138555.5,118989,77842.5,43826,20416,6307.5,1240.5,171.5
2009,gyeoungsangnamdo,372229,129170,107438,73259,40120.5,16985,4281.5,849,126
2009,jeju,65448.5,22338,18391,12616.5,5835,4245.5,1512.5,440.5,69.5
2010,seoul,954060,383202.5,266107,156569,88613,42558.5,13598,2935.5,476.5
2010,busan,388046.5,153475.5,111148,67034.5,36269.5,15197,3974,819.5,128.5
2010,daegu,245801.5,92216,71388,45501,23257,9918,2850,580.5,91
2010,incheon,230203,83588.5,64813.5,41925,24075,11542,3457.5,691.5,110
2010,gwangju,126640.5,46895,35197,22744.5,13237.5,6105.5,1940,445,76
2010,daejeon,126787,46388.5,35677.5,23248.5,12984.5,6138,1865,415,70
2010,ulsan,74674,28958,20633,13069,7378.5,3407.5,1016,188,24
2010,gyeonggi,987052,355435.5,284681.5,181284,100080.5,47518,14561,3015.5,476
2010,gangwon,220562,76026.5,65538.5,39351,23415.5,11543.5,3767.5,784,135.5
2010,chungcheongbukdo,200492,65927.5,59238,39985,21570,9930,3057,683.5,101
2010,chungcheongnamdo,303658,93341.5,89545,64800.5,34273.5,15653.5,4852.5,1032,159.5
2010,jeonnabukdo,280004.5,89177.5,80245.5,58161.5,32333.5,14359,4587,957,183.5
2010,jeonnanamdo,346309,109253.5,101790,69985,39739.5,18575.5,5504,1245.5,216
2010,gyeoungsangbukdo,414187,132312,121527.5,84207.5,46423.5,21455.5,6758.5,1320,182.5
2010,gyeoungsangnamdo,381889,125817,110645,78028.5,43077.5,18559.5,4695.5,936,130
2010,jeju,67816,22243,18878.5,13694,6712.5,4196.5,1559,454.5,78
2011,seoul,993219,386075,280456,170073.5,93790.5,44302.5,14848.5,3172.5,500.5
2011,busan,402511,151962.5,117512.5,72651.5,38640.5,16277.5,4453,887,126.5
2011,daegu,253206,89947.5,74429.5,49356.5,25075,10573.5,3117,618,89
2011,incheon,241056,85131.5,67481,45530.5,25895.5,12248.5,3895,755.5,118.5
2011,gwangju,132184.5,47300,37239.5,24443,14174.5,6382.5,2118,445.5,81.5
2011,daejeon,131802,46598.5,36925,25255.5,13971.5,6494,2022,454.5,81
2011,ulsan,77886,29162.5,21840.5,14084.5,7842,3624,1093.5,213.5,25.5
2011,gyeonggi,1033889.5,359555.5,297222.5,198738.5,107853,50544.5,16153,3299.5,523
2011,gangwon,227226.5,74287,68151.5,42807.5,24726,12264,4013.5,833.5,143.5
2011,chungcheongbukdo,205343.5,64335.5,59859.5,43623.5,22942.5,10476.5,3266.5,738.5,101
2011,chungcheongnamdo,309304,90370,88787.5,70325.5,36649.5,16658,5187.5,1152.5,173.5
2011,jeonnabukdo,286064,87217,80901.5,62159.5,34824,14817.5,4924,1034,186.5
2011,jeonnanamdo,351460,103932.5,104418,73423,42940.5,19166,6006,1347,227
2011,gyeoungsangbukdo,418867,125280,122660,90347,49151,22525.5,7287.5,1416,200
2011,gyeoungsangnamdo,391214.5,121987,113553,82921,46159.5,20088.5,5345.5,1016,144
2011,jeju,70396,22298.5,19578,14683,7482,4110.5,1677,485.5,81.5
2012,seoul,1043490,389975,304602.5,183112.5,98986.5,46554,16290,3430,539.5
2012,busan,422575,153070,126616,77827,41378.5,17512,5048.5,985,138
2012,daegu,264174.5,88878,79725,52655.5,27268,11410,3478,665,95
2012,incheon,255531.5,87567.5,72652,49052,27853.5,13028,4380,860.5,138
2012,gwangju,139287.5,47718,40712,26237.5,14947.5,6757,2359,469,87.5
2012,daejeon,138140.5,46522.5,39733,27141.5,15017,6900.5,2232,502.5,91.5
2012,ulsan,82340,29856.5,23759,15050.5,8361.5,3842.5,1198.5,245.5,26
2012,gyeonggi,1089851,365242,317661.5,214708,116242.5,53564,18191,3661.5,580.5
2012,gangwon,234727,72494.5,71342.5,46687,25997,12815,4299.5,933,158.5
2012,chungcheongbukdo,210065,61696.5,62174.5,46423.5,24354.5,10892,3644,772.5,107.5
2012,chungcheongnamdo,302564,82892,87426.5,70712,37934.5,16747.5,5518.5,1151,182
2012,jeonnabukdo,295584.5,84923,85764,65256.5,36943.5,15937.5,5448,1115.5,196.5
2012,jeonnanamdo,359182,99024,109253.5,77268,45577.5,19655,6706,1459,239
2012,gyeoungsangbukdo,428060.5,119577,127509,95015,52443.5,23798.5,7920,1574.5,223
2012,gyeoungsangnamdo,404219,120514.5,118060.5,86841.5,49934.5,21494.5,6112.5,1094.5,166.5
2012,jeju,73521,22662,20475.5,15525.5,8310,4022,1911,525.5,89.5
2013,seoul,1100175,401314,325621.5,196583.5,104784,49514,18137.5,3639,581.5
2013,busan,446877,158626.5,134920.5,83139.5,44057.5,19179.5,5765,1026.5,162
2013,daegu,278664.5,91436.5,84537.5,55924.5,29522.5,12533,3897,708.5,105
2013,incheon,271319.5,91635.5,77179,52518.5,29888,14003,4959.5,977.5,158.5
2013,gwangju,146959.5,49520.5,43038,28112,15818.5,7201.5,2656,526.5,86.5
2013,daejeon,145539,47952.5,42062,28851,16100.5,7412,2519.5,545.5,96
2013,ulsan,87827.5,31551.5,25612,16013,8924,4098,1348.5,251,29.5
2013,gyeonggi,1150680,378422.5,334042.5,229990,125491,57399,20685,4013,637
2013,gangwon,242767.5,71897.5,73340,50616,27410,13555.5,4743,1028.5,177
2013,chungcheongbukdo,216963.5,61284.5,64170.5,48650.5,26261.5,11643.5,4040,786,127
2013,chungcheongnamdo,312436.5,82985.5,89080.5,73209.5,41405.5,18096.5,6241.5,1229,188.5
2013,jeonnabukdo,305905.5,85247.5,88623,67807.5,39251,17327.5,6229,1205.5,214.5
2013,jeonnanamdo,368162,97821,110687.5,81477,48364.5,20258.5,7795.5,1494,264
2013,gyeoungsangbukdo,441923.5,119019.5,131818.5,99022,55919,25535,8650,1704.5,255
2013,gyeoungsangnamdo,420140,123433.5,121529,90327,53400,23134,6951,1182.5,183
2013,jeju,76847,23473.5,21023,16087.5,9405,3916,2296.5,549.5,96
2014,seoul,1153902.5,418589,334235,211763.5,111619.5,53535,19634,3889.5,637
2014,busan,471465,167126.5,138985.5,89315,47203,21189.5,6392,1073,180.5
2014,daegu,293260,96620,86074.5,59533.5,32225,13656,4262.5,774,114.5
2014,incheon,286641,97371.5,78894,56229,32052.5,15298.5,5526.5,1096,173
2014,gwangju,154464.5,52661.5,43516.5,29905,16944.5,7916.5,2849,574.5,97
2014,daejeon,153162,50873,42759,30637,17401,8012.5,2796,581.5,102
2014,ulsan,93546,34063,26546,17076,9629,4452.5,1488,255,36.5
2014,gyeonggi,1209623.5,397360.5,339628,245828,135915.5,63071.5,22724.5,4398,697.5
2014,gangwon,249778,71898,73027,54542,29214,14565.5,5235,1110,186.5
2014,chungcheongbukdo,223728.5,62850.5,63438.5,50860.5,28557.5,12730,4319.5,825,147
2014,chungcheongnamdo,322806,86619.5,87012.5,75870.5,45061,19894.5,6759,1388.5,200.5
2014,jeonnabukdo,315324.5,89110.5,86348.5,70312,42289.5,19007.5,6708,1321,227.5
2014,jeonnanamdo,376686,100788,106659.5,85644,51063,22178.5,8490,1579.5,283.5
2014,gyeoungsangbukdo,456727.5,123713.5,130016,103788.5,60362,27507.5,9224.5,1823,292.5
2014,gyeoungsangnamdo,437106,129744.5,121596,94259,56994.5,25300.5,7737.5,1270,204
2014,jeju,80053.5,24348,21211,16583.5,10550.5,4192,2501,567.5,100
2015,seoul,1201411.5,434168.5,338228.5,224632,121159.5,57813.5,20458.5,4253.5,697.5
2015,busan,494583,176933.5,139423.5,95399,51511,23027.5,6911,1186.5,191
2015,daegu,306532,102973,85165,62458.5,35624.5,14769.5,4544,873.5,124
2015,incheon,301596.5,103369,80212.5,58983,34850,16819,5945,1225.5,192.5
2015,gwangju,161638.5,55613.5,43940,31322.5,18295,8789.5,2945.5,625,107.5
2015,daejeon,160507.5,54052.5,43326.5,31783.5,18934.5,8696,2991,616.5,107
2015,ulsan,99335,37099,26861,18160.5,10472.5,4805.5,1605,287.5,44
2015,gyeonggi,1269976,417940,344247,258659,149436.5,69664.5,24364.5,4905.5,759
2015,gangwon,255678,71554,72080,57794.5,31483,15688.5,5679.5,1202.5,196
2015,chungcheongbukdo,229962.5,64655.5,62279,52087,31370.5,13915.5,4611,883,161
2015,chungcheongnamdo,333167,91822.5,84880.5,76358,49531.5,21635,7219,1497,223.5
2015,jeonnabukdo,325565.5,94665,84113,71240.5,46004.5,21041,6820,1449,232.5
2015,jeonnanamdo,385162,104536.5,102236,88720,53895,25063.5,8649.5,1753.5,308
2015,gyeoungsangbukdo,470166.5,131200,124606,106802,65969,29514,9789.5,1968.5,317.5
2015,gyeoungsangnamdo,453106,137718,118935.5,97530,61210.5,27561,8517.5,1403.5,230
2015,jeju,83255,25192,21392.5,17162,11526.5,4871.5,2412.5,590,108
2016,seoul,1237366,439027.5,340549,237554.5,132134.5,61404.5,21243.5,4713.5,739
2016,busan,515918,185755,138599.5,101519.5,56223,24767,7477,1368.5,208.5
2016,daegu,318955,109466,83134,65398,38947,16069.5,4839.5,963,138
2016,incheon,314360.5,106572.5,81895.5,61664,38135,18187.5,6319.5,1374,212.5
2016,gwangju,167881.5,57449,44279.5,33101,19696.5,9442.5,3095,700,118
2016,daejeon,166990,56576.5,43536.5,32951.5,20562,9437,3147.5,664,115
2016,ulsan,105034,40213,27058.5,19228.5,11337.5,5113.5,1710.5,329,43.5
2016,gyeonggi,1328018,432029.5,350236.5,272049.5,165228,75853,26211.5,5571.5,838.5
2016,gangwon,260575.5,70730.5,70741.5,60407,34345.5,16733.5,6102.5,1298.5,216.5
2016,chungcheongbukdo,235761.5,66527.5,60885.5,52796.5,34513,14962,4904,998,175
2016,chungcheongnamdo,342604.5,96853,82663,76060,54131.5,23328.5,7711,1611.5,246
2016,jeonnabukdo,334696.5,98639.5,82607.5,72070.5,49536.5,22940.5,7072,1578,252
2016,jeonnanamdo,392527.5,107444.5,97897.5,91674.5,57058.5,27339.5,8867,1925,321
2016,gyeoungsangbukdo,482460,139885,118395,108236,71371.5,31668.5,10418.5,2146,339.5
2016,gyeoungsangnamdo,468462,145789.5,115698.5,100633,65439,29797,9267,1586.5,251.5
2016,jeju,86475,25881.5,21693.5,17926.5,12407,5473,2325.5,653,115
2017,seoul,1283753.5,443556.5,344436,258889.5,142927.5,65329,22592.5,5247,775.5
2017,busan,540955,193274,140168.5,109951.5,60675,26778,8264.5,1611,232.5
2017,daegu,334441.5,115683,82387,70321.5,41798.5,17751,5283,1064,153.5
2017,incheon,330178,110150,84117.5,66594,41071.5,19624,6832.5,1559.5,229
2017,gwangju,175046,58599,44660.5,36302.5,21191,10049.5,3332.5,788,123
2017,daejeon,174498.5,58949,43423.5,35583,22056.5,10233,3397,734,122.5
2017,ulsan,111715.5,43209,27691,20896.5,12156.5,5507.5,1832,377,46
2017,gyeonggi,1401148.5,450458.5,358726,293465.5,180093,82702.5,28276.5,6499.5,927
2017,gangwon,269629,73137,69437.5,63616,37509.5,17712.5,6529,1444.5,243
2017,chungcheongbukdo,244519.5,70105,59064.5,55474.5,37194.5,16085.5,5234.5,1183,178
2017,chungcheongnamdo,353373,100466.5,80261.5,79083,57444.5,25774,8216,1861.5,266
2017,jeonnabukdo,343521.5,99171.5,80869.5,76749.5,52312,24621.5,7727,1797.5,273
2017,jeonnanamdo,400764,108631.5,93927.5,96589.5,60537,29340,9233,2189.5,316
2017,gyeoungsangbukdo,498874.5,148155.5,113558,113182.5,75579,34398,11221,2416,364.5
2017,gyeoungsangnamdo,488532.5,154151,114969,105571.5,69165.5,32553.5,10026.5,1834.5,261
2017,jeju,89964.5,26467,22231,18848.5,13129.5,6115.5,2275.5,776.5,121
