"시점","행정구역(시군구)별","성별",계,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2005","경상남도","계",3152122.5,120237,91788,58148,47243,31660.5,15582.5,11342,3501,638,101.5
"2005","제주특별자치도","계",556465.5,20351,15456.5,8343,10392,5938,4454,2857,1235.5,310,51.5
"2006","서울특별시","계",10174255,318422.5,201261,121727.5,114713.5,70350,44363.5,31732.5,10201,2089,341
"2006","부산광역시","계",3625142.5,132013,86779.5,52160,41449,27356,14093,10356,3080,559.5,97.5
"2006","대구광역시","계",2503710.5,82138,57900,33261,27489.5,17602.5,9887,7256,2151,416.5,63.5
"2006","인천광역시","계",2612443,71385,51291.5,32283.5,29311,18617.5,10693.5,7837.5,2295.5,489,71.5
"2006","광주광역시","계",1404771.5,40108.5,27647.5,18142.5,16697,10128,6569,4642.5,1526.5,339.5,60.5
"2006","대전광역시","계",1460398,39905.5,28645,17860,16353,10149.5,6203.5,4452,1406.5,295.5,49.5
"2006","울산광역시","계",1090071,23958.5,16291.5,10236.5,9121.5,5805.5,3316,2457,723,119.5,16.5
"2006","경기도","계",10801624,307637.5,220178,133244,120487,75420.5,45066.5,32592.5,10069.5,2084.5,320
"2006","강원도","계",1509265,73974,49678.5,32160.5,31928.5,19635.5,12293,8829,2797,572.5,94.5
"2006","충청북도","계",1491681,64280.5,50211.5,30144,27656,17203.5,10452.5,7449.5,2462,473,68
"2006","충청남도","계",1968539.5,94656.5,80904.5,47788.5,43223.5,27083.5,16140,11411.5,3768,814,146.5
"2006","전라북도","계",1876850,88136.5,72684.5,46503,40551,24982.5,15568.5,11110,3542,773,143.5
"2006","전라남도","계",1955065,115163.5,87337.5,57969,51212.5,32104,19108.5,13476,4431.5,1013.5,187.5
"2006","경상북도","계",2688534,133371,105789.5,66009.5,61041,37962.5,23078.5,16965,5045,917.5,151
"2006","경상남도","계",3166644,122535,96610,61370,50399.5,33482.5,16917,12457.5,3674.5,678.5,106.5
"2006","제주특별자치도","계",558032.5,21028,16482,9206,10524,5793.5,4730.5,3062,1277.5,345.5,45.5
"2007","서울특별시","계",10186938,345882.5,217275.5,128671.5,121040,73015.5,48024.5,34407.5,10969.5,2279.5,368
"2007","부산광역시","계",3599715.5,141512.5,92446.5,55370.5,44426,28976.5,15449.5,11455,3273,616,105.5
"2007","대구광역시","계",2494688,87239.5,61264,35797,29268.5,18569,10699.5,7852.5,2327,452.5,67.5
"2007","인천광역시","계",2644483.5,76626.5,54958.5,34456.5,31368.5,19538,11830.5,8671.5,2522,561,76
"2007","광주광역시","계",1410621,43685,29507.5,19046.5,17573.5,10538,7035.5,5001.5,1603,370.5,60.5
"2007","대전광역시","계",1470908.5,42902.5,30655.5,18832,17465,10729.5,6735.5,4832.5,1530,323,50
"2007","울산광역시","계",1096244.5,25925,17292.5,10822,9756.5,6121.5,3635,2658,826,135,16
"2007","경기도","계",11006122,328938.5,238073,142969,129406,79638.5,49767.5,36068.5,11041.5,2316.5,341
"2007","강원도","계",1504613,76553.5,53882,33379.5,33290,20265,13025,9233,3076.5,611.5,104
"2007","충청북도","계",1500583.5,66593.5,53528.5,31861,29085.5,17689,11396.5,8158,2644,521.5,73
"2007","충청남도","계",1984982,97092.5,84562.5,51314.5,45484.5,27997.5,17487,12413.5,4042.5,892.5,138.5
"2007","전라북도","계",1865321,92446.5,75405,48459,43040,26293.5,16746.5,11995,3752.5,836.5,162.5
"2007","전라남도","계",1936380.5,119212,91195.5,60993.5,53320,32648,20672,14732.5,4696,1044,199.5
"2007","경상북도","계",2684970.5,137551,110412,69425.5,64082.5,39412,24670.5,18071.5,5434,1019,146
"2007","경상남도","계",3184905,126650.5,100329.5,65520,53771,35096,18675,13923,3884.5,754,113.5
"2007","제주특별자치도","계",558877,21858.5,17368,10119,10864,5705,5159,3360.5,1362.5,387,49
"2008","서울특별시","계",10196768.5,369077.5,233331.5,135989,129047.5,76744.5,52303,37744.5,11673.5,2485,400
"2008","부산광역시","계",3576008,149933.5,98151,58279,48202,31114,17088,12814.5,3473,688,112.5
"2008","대구광역시","계",2492992.5,92061.5,64607.5,38348.5,31722,20093.5,11628.5,8577.5,2499.5,472.5,79
"2008","인천광역시","계",2678636,81209,58456.5,36759.5,33945,20702.5,13242.5,9739,2806.5,610,87
"2008","광주광역시","계",1418073,45949.5,31547,19988.5,18653,11030.5,7622.5,5476.5,1700.5,382.5,63
"2008","대전광역시","계",1478277,45376.5,32484,19966.5,18781,11421.5,7359.5,5329.5,1626,353.5,50.5
"2008","울산광역시","계",1106201,27851.5,18300.5,11390,10542,6520.5,4021.5,2957,899.5,149.5,15.5
"2008","경기도","계",11199237.5,346460.5,254978,153936.5,140036.5,84598,55438.5,40494.5,12020,2545,379
"2008","강원도","계",1506190.5,78119,58087.5,34802.5,35051,20946.5,14104.5,10000.5,3318,671,115
"2008","충청북도","계",1513097.5,68442,55892.5,34070.5,30977.5,18612.5,12365,8930.5,2756.5,595,83
"2008","충청남도","계",2007034,98676,87099.5,55321,48528.5,29415.5,19113,13796,4248.5,935,133.5
"2008","전라북도","계",1859024.5,94822,77569.5,50774,46286,27828.5,18457.5,13424,3965,895.5,173
"2008","전라남도","계",1924418,119839.5,95294,64185,56143,33190,22953,16789,4832,1118,214
"2008","경상북도","계",2677647.5,141201,114365.5,73022.5,67939.5,41403.5,26536,19360.5,5891,1127,157.5
"2008","경상남도","계",3211104,129771,103659,69390,57721,37183,20538,15529.5,4087.5,801.5,119.5
"2008","제주특별자치도","계",559938,22316.5,17947,11332,11367,5532,5835,3900.5,1455,420,59.5
"2009","서울특별시","계",10204564.5,378338.5,251268,144706.5,138591.5,82307.5,56284,40650,12472.5,2720.5,441
